"","ter_ic","title","sum","IC","result"
"124","TIC_1","Путин Владимир Владимирович",45322,"УИК_16",813
"125","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_16",90
"126","TIC_1","Сурайкин Максим Александрович",401,"УИК_16",11
"127","TIC_1","Титов Борис Юрьевич",1166,"УИК_16",30
"128","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_16",66
"129","TIC_1","Бабурин Сергей Николаевич",609,"УИК_17",13
"130","TIC_1","Грудинин Павел Николаевич",5832,"УИК_17",95
"131","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_17",58
"132","TIC_1","Путин Владимир Владимирович",45322,"УИК_17",731
"133","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_17",37
"134","TIC_1","Сурайкин Максим Александрович",401,"УИК_17",10
"135","TIC_1","Титов Борис Юрьевич",1166,"УИК_17",20
"136","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_17",43
"137","TIC_1","Бабурин Сергей Николаевич",609,"УИК_18",11
"138","TIC_1","Грудинин Павел Николаевич",5832,"УИК_18",68
"139","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_18",27
"140","TIC_1","Путин Владимир Владимирович",45322,"УИК_18",532
"141","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_18",63
"142","TIC_1","Сурайкин Максим Александрович",401,"УИК_18",6
"143","TIC_1","Титов Борис Юрьевич",1166,"УИК_18",21
"144","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_18",48
"145","TIC_1","Бабурин Сергей Николаевич",609,"УИК_19",15
"146","TIC_1","Грудинин Павел Николаевич",5832,"УИК_19",76
"147","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_19",34
"148","TIC_1","Путин Владимир Владимирович",45322,"УИК_19",766
"149","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_19",70
"150","TIC_1","Сурайкин Максим Александрович",401,"УИК_19",2
"151","TIC_1","Титов Борис Юрьевич",1166,"УИК_19",23
"152","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_19",56
"153","TIC_1","Бабурин Сергей Николаевич",609,"УИК_20",6
"154","TIC_1","Грудинин Павел Николаевич",5832,"УИК_20",86
"155","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_20",47
"156","TIC_1","Путин Владимир Владимирович",45322,"УИК_20",630
"157","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_20",83
"158","TIC_1","Сурайкин Максим Александрович",401,"УИК_20",8
"159","TIC_1","Титов Борис Юрьевич",1166,"УИК_20",21
"160","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_20",48
"161","TIC_1","Бабурин Сергей Николаевич",609,"УИК_21",10
"162","TIC_1","Грудинин Павел Николаевич",5832,"УИК_21",104
"163","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_21",38
"164","TIC_1","Путин Владимир Владимирович",45322,"УИК_21",686
"165","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_21",80
"166","TIC_1","Сурайкин Максим Александрович",401,"УИК_21",9
"167","TIC_1","Титов Борис Юрьевич",1166,"УИК_21",19
"168","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_21",72
"169","TIC_1","Бабурин Сергей Николаевич",609,"УИК_22",9
"170","TIC_1","Грудинин Павел Николаевич",5832,"УИК_22",86
"171","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_22",45
"172","TIC_1","Путин Владимир Владимирович",45322,"УИК_22",700
"173","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_22",53
"174","TIC_1","Сурайкин Максим Александрович",401,"УИК_22",8
"175","TIC_1","Титов Борис Юрьевич",1166,"УИК_22",24
"176","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_22",51
"177","TIC_1","Бабурин Сергей Николаевич",609,"УИК_23",7
"178","TIC_1","Грудинин Павел Николаевич",5832,"УИК_23",59
"179","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_23",29
"180","TIC_1","Путин Владимир Владимирович",45322,"УИК_23",519
"181","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_23",46
"182","TIC_1","Сурайкин Максим Александрович",401,"УИК_23",6
"183","TIC_1","Титов Борис Юрьевич",1166,"УИК_23",13
"184","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_23",49
"185","TIC_1","Бабурин Сергей Николаевич",609,"УИК_24",12
"186","TIC_1","Грудинин Павел Николаевич",5832,"УИК_24",79
"187","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_24",21
"188","TIC_1","Путин Владимир Владимирович",45322,"УИК_24",643
"189","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_24",53
"190","TIC_1","Сурайкин Максим Александрович",401,"УИК_24",6
"191","TIC_1","Титов Борис Юрьевич",1166,"УИК_24",10
"192","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_24",36
"193","TIC_1","Бабурин Сергей Николаевич",609,"УИК_25",14
"194","TIC_1","Грудинин Павел Николаевич",5832,"УИК_25",116
"195","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_25",44
"196","TIC_1","Путин Владимир Владимирович",45322,"УИК_25",914
"197","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_25",84
"198","TIC_1","Сурайкин Максим Александрович",401,"УИК_25",8
"199","TIC_1","Титов Борис Юрьевич",1166,"УИК_25",22
"200","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_25",57
"201","TIC_1","Бабурин Сергей Николаевич",609,"УИК_26",2
"202","TIC_1","Грудинин Павел Николаевич",5832,"УИК_26",48
"203","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_26",47
"204","TIC_1","Путин Владимир Владимирович",45322,"УИК_26",510
"205","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_26",49
"206","TIC_1","Сурайкин Максим Александрович",401,"УИК_26",2
"207","TIC_1","Титов Борис Юрьевич",1166,"УИК_26",7
"208","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_26",26
"209","TIC_1","Бабурин Сергей Николаевич",609,"УИК_27",7
"210","TIC_1","Грудинин Павел Николаевич",5832,"УИК_27",76
"211","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_27",33
"212","TIC_1","Путин Владимир Владимирович",45322,"УИК_27",584
"213","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_27",72
"214","TIC_1","Сурайкин Максим Александрович",401,"УИК_27",2
"215","TIC_1","Титов Борис Юрьевич",1166,"УИК_27",15
"216","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_27",32
"217","TIC_1","Бабурин Сергей Николаевич",609,"УИК_28",13
"218","TIC_1","Грудинин Павел Николаевич",5832,"УИК_28",67
"219","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_28",33
"220","TIC_1","Путин Владимир Владимирович",45322,"УИК_28",659
"221","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_28",52
"222","TIC_1","Сурайкин Максим Александрович",401,"УИК_28",5
"223","TIC_1","Титов Борис Юрьевич",1166,"УИК_28",14
"224","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_28",27
"225","TIC_1","Бабурин Сергей Николаевич",609,"УИК_29",11
"226","TIC_1","Грудинин Павел Николаевич",5832,"УИК_29",81
"227","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_29",24
"228","TIC_1","Путин Владимир Владимирович",45322,"УИК_29",630
"229","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_29",68
"230","TIC_1","Сурайкин Максим Александрович",401,"УИК_29",8
"231","TIC_1","Титов Борис Юрьевич",1166,"УИК_29",18
"232","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_29",34
"233","TIC_1","Бабурин Сергей Николаевич",609,"УИК_30",16
"234","TIC_1","Грудинин Павел Николаевич",5832,"УИК_30",84
"235","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_30",27
"236","TIC_1","Путин Владимир Владимирович",45322,"УИК_30",580
"237","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_30",71
"238","TIC_1","Сурайкин Максим Александрович",401,"УИК_30",4
"239","TIC_1","Титов Борис Юрьевич",1166,"УИК_30",16
"240","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_30",34
"241","TIC_1","Бабурин Сергей Николаевич",609,"УИК_31",17
"242","TIC_1","Грудинин Павел Николаевич",5832,"УИК_31",149
"243","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_31",77
"244","TIC_1","Путин Владимир Владимирович",45322,"УИК_31",1125
"245","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_31",74
"246","TIC_1","Сурайкин Максим Александрович",401,"УИК_31",7
"247","TIC_1","Титов Борис Юрьевич",1166,"УИК_31",20
"248","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_31",30
"249","TIC_1","Бабурин Сергей Николаевич",609,"УИК_32",11
"250","TIC_1","Грудинин Павел Николаевич",5832,"УИК_32",119
"251","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_32",64
"252","TIC_1","Путин Владимир Владимирович",45322,"УИК_32",891
"253","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_32",66
"254","TIC_1","Сурайкин Максим Александрович",401,"УИК_32",7
"255","TIC_1","Титов Борис Юрьевич",1166,"УИК_32",26
"256","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_32",41
"257","TIC_1","Бабурин Сергей Николаевич",609,"УИК_33",9
"258","TIC_1","Грудинин Павел Николаевич",5832,"УИК_33",121
"259","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_33",57
"260","TIC_1","Путин Владимир Владимирович",45322,"УИК_33",896
"261","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_33",74
"262","TIC_1","Сурайкин Максим Александрович",401,"УИК_33",6
"263","TIC_1","Титов Борис Юрьевич",1166,"УИК_33",30
"264","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_33",64
"265","TIC_1","Бабурин Сергей Николаевич",609,"УИК_34",5
"266","TIC_1","Грудинин Павел Николаевич",5832,"УИК_34",98
"267","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_34",50
"268","TIC_1","Путин Владимир Владимирович",45322,"УИК_34",927
"269","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_34",57
"270","TIC_1","Сурайкин Максим Александрович",401,"УИК_34",5
"271","TIC_1","Титов Борис Юрьевич",1166,"УИК_34",19
"272","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_34",35
"273","TIC_1","Бабурин Сергей Николаевич",609,"УИК_35",10
"274","TIC_1","Грудинин Павел Николаевич",5832,"УИК_35",84
"275","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_35",33
